"","a1","a2","a3","a4","a5","a6","s1","s2","s3","s4","s5","s6","c1","c2","c3","c4","c5","c6","scas1","scas2","scas3","scas4","scas5","scas6","swls"
"s5",0,0,0,0,0,0,0,0,0,0,0.728846065562176,0.0615278992112202,0.0709431058761973,0.059234397222056,0.0352953311671193,0.000418593114079695,0.0217198819834642,0.0688657816771378,0.0370981303862013,0.0432485177627224,0.0116172638500205,0.0214924411188805,0.0114767128791008,0.0247068458144466,-0.0851003296378051
"s6",0,0,0,0,0,0,0,0,0,0,0,0.756067059133267,-0.0613275239820419,-0.0313385156459223,-0.0518496926897287,0.0425918822751767,0.00203487929800213,-0.0234245895237625,0.0680118693703018,-0.0255366297751561,0.0692619146051797,-0.00500256813208591,0.017246237513831,-0.0534073799317436,-0.163385474168331
"c1",0,0,0,0,0,0,0,0,0,0,0,0,0.858972385117142,0.262670805931726,0.331969325591223,0.317068017744215,0.294135070037676,0.356377514195507,0.0735496777533318,0.146953398750792,0.178711489020005,0.0733995847677754,0.10113521163401,0.134664343261372,-0.0779595771935053
"c2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.838371067254444,0.0798757613582446,0.225797383030104,0.332619486533877,0.206836908021228,0.083016150008732,0.110761794557856,0.134930311843125,0.0705281330592859,0.0278225481262575,0.0489251282588657,-0.0906286119582605
"c3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855375592115802,0.0607195763435139,0.103545243124897,0.127080092993449,0.0556497925813221,0.0202657162191887,-0.00204692339065319,-0.0169510743358317,0.0390810005213041,0.0596812034263708,-0.0385411932655805
"c4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809124711247581,0.248978783545611,0.0902666889886016,0.0901418172840127,0.105080406152312,0.21482776787322,0.127994744699955,0.0228809233185687,-0.0311328005416682,-0.0725644212048508
"c5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74407551527175,0.244751586366868,0.0857590399871753,0.110539838279177,0.177597996090772,0.0509409912232235,0.0790796900430668,0.0986062855717594,-0.0890369694231896
"c6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751596566704592,0.0715570788071792,0.0750646856510226,0.0461801620117128,0.0699003372675498,0.0683302292263085,0.0862849165814615,-0.0110788683043896
"scas1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838551495793371,0.169128421520169,0.297183377086469,0.0768622220120213,0.27354142341883,0.124394495549089,-0.257953280229145
"scas2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80347173002181,-0.0133750068683708,0.094753919249824,0.0962509781878562,0.185338521975499,-0.162469165495875
"scas3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.801403479766012,0.182946978083609,0.0604520354279588,-0.00494698669615373,-0.0805627168111529
"scas4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892864086177364,-0.0808880540231614,-0.0197440264530079,-0.0634984540196274
"scas5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783350250346444,0.402350682657482,-0.0667076502700377
"scas6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699091500797896,-0.0182905814885695
"swls",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649481917379626
