"a1";"a2";"a3";"a4";"a5";"a6";"s1";"s2";"s3";"s4";"s5";"s6";"c1";"c2";"c3";"c4";"c5";"c6";"swls"
"a1";0;0.048;0.027;-0.068;-0.077;0.013;-0.002;-0.001;0.027;0;-0.047;0.005;0.001;0.003;-0.026;0.003;-0.027;-0.028;0.016
"a2";0.048;0;0;0.081;0.029;-0.108;-0.001;0.036;-0.03;0.032;0.03;-0.004;0.096;-0.01;0.037;0.022;0.021;-0.025;0.022
"a3";0.027;0;0;-0.036;-0.066;0.035;0.022;-0.049;-0.009;-0.044;-0.072;-0.005;-0.02;0.059;-0.035;-0.006;-0.046;-0.021;-0.093
"a4";-0.068;0.081;-0.036;0;0.245;-0.019;-0.039;0.082;-0.069;0.045;0.075;-0.026;0.018;-0.075;-0.059;-0.073;-0.093;-0.04;-0.02
"a5";-0.077;0.029;-0.066;0.245;0;0.007;0.004;0.084;-0.05;0.019;-0.023;-0.068;0.094;-0.065;0.007;-0.012;-0.06;-0.04;-0.113
"a6";0.013;-0.108;0.035;-0.019;0.007;0;0.015;0.063;0.028;0.02;-0.048;0.003;0.112;0.069;0.056;0.076;-0.022;0.013;0.095
"s1";-0.002;-0.001;0.022;-0.039;0.004;0.015;0;-0.007;0.048;-0.079;-0.04;0.102;-0.004;0.019;-0.079;0.032;-0.052;-0.05;-0.001
"s2";-0.001;0.036;-0.049;0.082;0.084;0.063;-0.007;0;-0.062;0.007;0.141;-0.07;0.075;-0.028;0.131;0.051;-0.04;0.001;-0.145
"s3";0.027;-0.03;-0.009;-0.069;-0.05;0.028;0.048;-0.062;0;0.01;-0.079;0.097;-0.021;0.028;-0.073;-0.008;-0.04;-0.084;0.036
"s4";0;0.032;-0.044;0.045;0.019;0.02;-0.079;0.007;0.01;0;0.038;-0.04;0.146;0.086;0.071;0.002;0.041;0.091;0.046
"s5";-0.047;0.03;-0.072;0.075;-0.023;-0.048;-0.04;0.141;-0.079;0.038;0;-0.056;0.066;0.001;0.043;-0.032;-0.053;0.014;-0.074
"s6";0.005;-0.004;-0.005;-0.026;-0.068;0.003;0.102;-0.07;0.097;-0.04;-0.056;0;-0.076;-0.022;-0.107;0.004;-0.062;-0.083;0.141
"c1";0.001;0.096;-0.02;0.018;0.094;0.112;-0.004;0.075;-0.021;0.146;0.066;-0.076;0;-0.031;0.151;0.009;-0.079;0.036;-0.012
"c2";0.003;-0.01;0.059;-0.075;-0.065;0.069;0.019;-0.028;0.028;0.086;0.001;-0.022;-0.031;0;-0.06;0.005;0.034;-0.014;0.045
"c3";-0.026;0.037;-0.035;-0.059;0.007;0.056;-0.079;0.131;-0.073;0.071;0.043;-0.107;0.151;-0.06;0;-0.036;-0.046;0.036;-0.063
"c4";0.003;0.022;-0.006;-0.073;-0.012;0.076;0.032;0.051;-0.008;0.002;-0.032;0.004;0.009;0.005;-0.036;0;0.043;-0.075;0.045
"c5";-0.027;0.021;-0.046;-0.093;-0.06;-0.022;-0.052;-0.04;-0.04;0.041;-0.053;-0.062;-0.079;0.034;-0.046;0.043;0;0.043;0.011
"c6";-0.028;-0.025;-0.021;-0.04;-0.04;0.013;-0.05;0.001;-0.084;0.091;0.014;-0.083;0.036;-0.014;0.036;-0.075;0.043;0;-0.071
"swls";0.016;0.022;-0.093;-0.02;-0.113;0.095;-0.001;-0.145;0.036;0.046;-0.074;0.141;-0.012;0.045;-0.063;0.045;0.011;-0.071;0
